,ghg_externality,landlord_dilemma,multi_family,credit_constraint_heater,credit_constraint_insulation,present_bias,status_quo_bias
S0,carbon_tax_vsc,landlord_dilemma,multi_family,credit_constraint,credit_constraint,present_bias,status_quo_bias
S1,carbon_tax_vsc,landlord_dilemma,multi_family,credit_constraint,credit_constraint,present_bias,no_status_quo_bias
S2,carbon_tax_vsc,landlord_dilemma,multi_family,credit_constraint,credit_constraint,no_present_bias,status_quo_bias
S3,carbon_tax_vsc,landlord_dilemma,multi_family,credit_constraint,credit_constraint,no_present_bias,no_status_quo_bias
S4,carbon_tax_vsc,landlord_dilemma,multi_family,credit_constraint,no_credit_constraint_insulation,present_bias,status_quo_bias
S5,carbon_tax_vsc,landlord_dilemma,multi_family,credit_constraint,no_credit_constraint_insulation,present_bias,no_status_quo_bias
S6,carbon_tax_vsc,landlord_dilemma,multi_family,credit_constraint,no_credit_constraint_insulation,no_present_bias,status_quo_bias
S7,carbon_tax_vsc,landlord_dilemma,multi_family,credit_constraint,no_credit_constraint_insulation,no_present_bias,no_status_quo_bias
S8,carbon_tax_vsc,landlord_dilemma,multi_family,no_credit_constraint_heater,credit_constraint,present_bias,status_quo_bias
S9,carbon_tax_vsc,landlord_dilemma,multi_family,no_credit_constraint_heater,credit_constraint,present_bias,no_status_quo_bias
S10,carbon_tax_vsc,landlord_dilemma,multi_family,no_credit_constraint_heater,credit_constraint,no_present_bias,status_quo_bias
S11,carbon_tax_vsc,landlord_dilemma,multi_family,no_credit_constraint_heater,credit_constraint,no_present_bias,no_status_quo_bias
S12,carbon_tax_vsc,landlord_dilemma,multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,present_bias,status_quo_bias
S13,carbon_tax_vsc,landlord_dilemma,multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,present_bias,no_status_quo_bias
S14,carbon_tax_vsc,landlord_dilemma,multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,no_present_bias,status_quo_bias
S15,carbon_tax_vsc,landlord_dilemma,multi_family,no_credit_constraint_heater,no_credit_constraint_insulation,no_present_bias,no_status_quo_bias
S16,carbon_tax_vsc,landlord_dilemma,no_multi_family,credit_constraint,credit_constraint,present_bias,status_quo_bias
S17,carbon_tax_vsc,landlord_dilemma,no_multi_family,credit_constraint,credit_constraint,present_bias,no_status_quo_bias
