2014,7
2015,14.5
2016,22
2017,30.5
2018,44.6
2019,44.6
2020,44.6
2021,44.6
2022,44.6
2023,44.6
2024,44.6
2025,44.6
2026,44.6
2027,44.6
2028,44.6
2029,44.6
2030,44.6
2031,44.6
2032,44.6
2033,44.6
2034,44.6
2035,44.6
2036,44.6
2037,44.6
2038,44.6
2039,44.6
2040,44.6
2041,44.6
2042,44.6
2043,44.6
2044,44.6
2045,44.6
2046,44.6
2047,44.6
2048,44.6
2049,44.6
2050,44.6
2051,44.6
2052,44.6
2053,44.6
2054,44.6
2055,44.6
2056,44.6
2057,44.6
2058,44.6
2059,44.6
2060,44.6
2061,44.6
2062,44.6
2063,44.6
2064,44.6
2065,44.6
2066,44.6
2067,44.6
2068,44.6
2069,44.6
2070,44.6
2071,44.6
2072,44.6
2073,44.6
2074,44.6
2075,44.6
2076,44.6
2077,44.6
2078,44.6
2079,44.6
2080,44.6
