Performance,Income tenant,Health expenditure,Social cost of mortality,Loss of well-being
G,D1,353,4995,1190
G,D2,353,4995,1190
G,D3,353,4995,1190
G,D4,8,109,26
G,D5,8,109,26
G,D6,8,109,26
G,D7,8,109,26
G,D8,8,109,26
G,D9,8,109,26
G,D10,8,109,26
F,D1,229,3232,770
F,D2,229,3232,770
F,D3,229,3232,770
F,D4,5,71,17
F,D5,5,71,17
F,D6,5,71,17
F,D7,5,71,17
F,D8,5,71,17
F,D9,5,71,17
F,D10,5,71,17
E,D1,0,0,0
E,D2,0,0,0
E,D3,0,0,0
E,D4,0,0,0
E,D5,0,0,0
E,D6,0,0,0
E,D7,0,0,0
E,D8,0,0,0
E,D9,0,0,0
E,D10,0,0,0
D,D1,0,0,0
D,D2,0,0,0
D,D3,0,0,0
D,D4,0,0,0
D,D5,0,0,0
D,D6,0,0,0
D,D7,0,0,0
D,D8,0,0,0
D,D9,0,0,0
D,D10,0,0,0
C,D1,0,0,0
C,D2,0,0,0
C,D3,0,0,0
C,D4,0,0,0
C,D5,0,0,0
C,D6,0,0,0
C,D7,0,0,0
C,D8,0,0,0
C,D9,0,0,0
C,D10,0,0,0
B,D1,0,0,0
B,D2,0,0,0
B,D3,0,0,0
B,D4,0,0,0
B,D5,0,0,0
B,D6,0,0,0
B,D7,0,0,0
B,D8,0,0,0
B,D9,0,0,0
B,D10,0,0,0
A,D1,0,0,0
A,D2,0,0,0
A,D3,0,0,0
A,D4,0,0,0
A,D5,0,0,0
A,D6,0,0,0
A,D7,0,0,0
A,D8,0,0,0
A,D9,0,0,0
A,D10,0,0,0
