Housing type,Occupancy status,Performance,Stock buildings
Multi-family,Owner-occupied,A,8660.012690654203
Multi-family,Owner-occupied,B,150810.09510170989
Multi-family,Owner-occupied,C,1219140.655642458
Multi-family,Owner-occupied,D,907334.5818043578
Multi-family,Owner-occupied,E,878484.3274136189
Multi-family,Owner-occupied,F,177615.97643216397
Multi-family,Owner-occupied,G,114608.13419783601
Multi-family,Privately rented,A,13712.699666859811
Multi-family,Privately rented,B,208151.77016560565
Multi-family,Privately rented,C,1103681.5160243507
Multi-family,Privately rented,D,1255821.6228337137
Multi-family,Privately rented,E,1411594.2928691409
Multi-family,Privately rented,F,521887.98127073096
Multi-family,Privately rented,G,443283.505299269
Multi-family,Social-housing,A,6636.897947835512
Multi-family,Social-housing,B,201945.0769223709
Multi-family,Social-housing,C,1613263.0404464658
Multi-family,Social-housing,D,778533.9305609688
Multi-family,Social-housing,E,648955.9812697303
Multi-family,Social-housing,F,92468.18916352872
Multi-family,Social-housing,G,34060.23503647127
Single-family,Owner-occupied,A,0.0
Single-family,Owner-occupied,B,686669.0353157447
Single-family,Owner-occupied,C,2416819.9449600726
Single-family,Owner-occupied,D,4263988.604173312
Single-family,Owner-occupied,E,2718871.3243724178
Single-family,Owner-occupied,F,1458099.9963641407
Single-family,Owner-occupied,G,573251.6830295381
Single-family,Privately rented,A,0.0
Single-family,Privately rented,B,118168.16530416945
Single-family,Privately rented,C,314671.9836284492
Single-family,Privately rented,D,668264.3303850412
Single-family,Privately rented,E,476174.4559501819
Single-family,Privately rented,F,275445.4894601704
Single-family,Privately rented,G,152406.54000817827
Single-family,Social-housing,A,0.0
Single-family,Social-housing,B,75808.9228644492
Single-family,Social-housing,C,235188.3758431188
Single-family,Social-housing,D,233371.43251366794
Single-family,Social-housing,E,164318.42687327918
Single-family,Social-housing,F,63484.630911403394
Single-family,Social-housing,G,13036.826785201778
