,Oil fuel,Natural gas,Electricity,Wood fuel,Heating
2018,0.0156,0.011,0.038,0,0
2019,0.011,0.014,017,0,0
2020,0.009,0.014,0.018,0,0
2021,0.011,0.013,0.019,0,0
2022,0.017,0.017,0.20,0
2023,0.015,0.020,0.023,0,0
2024,0.016,0.019,0.026,0,0
2025,0.016,0.019,0.037,0,0
2026,0.016,0.019,0.037,0,0
2027,0.016,0.019,0.037,0,0
2028,0.016,0.019,0.037,0,0
2029,0.016,0.019,0.037,0,0
2030,0.016,0.019,0.037,0,0
2031,0.016,0.019,0.037,0,0
2032,0.016,0.019,0.037,0,0
2033,0.016,0.019,0.037,0,0
2034,0.016,0.019,0.037,0,0
2035,0.016,0.019,0.037,0,0
2036,0.016,0.019,0.037,0,0
2037,0.016,0.019,0.038,0,0
2038,0.016,0.019,0.038,0,0
2039,0.016,0.019,0.038,0,0
2040,0.016,0.019,0.038,0,0
2041,0.016,0.019,0.038,0,0
2042,0.016,0.019,0.038,0,0
2043,0.016,0.019,0.038,0,0
2044,0.016,0.019,0.038,0,0
2045,0.016,0.019,0.038,0,0
2046,0.016,0.019,0.038,0,0
2047,0.016,0.019,0.038,0,0
2048,0.016,0.019,0.038,0,0
2049,0.016,0.019,0.038,0,0
2050,0.016,0.019,0.038,0,0
