Wall,Floor,Roof,Windows,0
True,True,True,False,35145.2464074
False,True,True,False,3356.0565662000004
True,True,False,False,1559.0942035
True,False,True,False,88720.49540849999
True,False,False,False,82471.9178834
False,False,True,False,782532.2849059
False,True,False,False,1685.1445092999998
True,True,True,True,32147.673466599997
False,True,True,True,42110.44697790001
True,True,False,True,11086.666583
True,False,True,True,5717.9382881
True,False,False,True,2876.9391089
False,False,True,True,8821.0883068
False,True,False,True,60009.79200559999
False,False,False,True,43791.8910072
